OBJECTID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
1,1001,Rillitori,Rilltorget,Rillitori,Tikkurilantie 30,Dickursbyvägen 30,Vantaa,Vantaa,City Bike Vantaa,20,25.0515797305299,60.2930266453553
2,1003,Männistönpolku,Männistöstigen,Männistönpolku,Männistönpolku 3,Männistöstigen 3,Vantaa,Vantaa,City Bike Vantaa,20,25.0424261327172,60.293215872088
3,1005,Tikkurilan asema,Dickursby station,Tikkurila station,Ratatie 13,Banvägen 13,Vantaa,Vantaa,City Bike Vantaa,30,25.0445870486865,60.2947747310183
4,1007,Tikkuraitti,Dickurstråket,Tikkuraitti,Tikkuraitti 18,Dickurstråket 18,Vantaa,Vantaa,City Bike Vantaa,20,25.0364107363973,60.2934127240145
5,1009,Maalitori,Målfärgstorget,Maalitori,Maalipolku 11,Målfärgsstigen 11,Vantaa,Vantaa,City Bike Vantaa,20,25.0449516168152,60.2918633585749
6,1011,Virnatie,Vickervägen,Virnatie,Virnatie 1,Vickervägen 1,Vantaa,Vantaa,City Bike Vantaa,20,25.033285918521,60.2878287864556
7,1013,Peltolantori,Peltolatorget,Peltolantori,Peltolantie 4a,Peltolavägen 4a,Vantaa,Vantaa,City Bike Vantaa,20,25.0299498859934,60.2935647195934
8,1015,Kurjenpolvenpuisto,Skogsnävsparken,Kurjenpolvenpuisto,Peltolantie 19,Peltolavägen 19,Vantaa,Vantaa,City Bike Vantaa,20,25.0187079550219,60.2940256652594
9,1277,Tikkurilan urheilupuisto,Dickursby idrottspark,Tikkurila sports park,Läntinen Valkoisenlähteentie 54,Västra Vitbäcksvägen 54,Vantaa,Vantaa,City Bike Vantaa,20,25.0284271889035,60.2996102657305
10,1017,Suopursunaukio,Getporsplatsen,Suopursunaukio,Kielotie 23,Konvaljvägen 23,Vantaa,Vantaa,City Bike Vantaa,20,25.0418703849498,60.2994854906881
11,1275,Hiekkaharjun liikuntapuisto,Sandkulla idrottspark,Hiekkaharju sports park,Vesijohdontie 1,Vattenledningsvägen 1,Vantaa,Vantaa,City Bike Vantaa,20,25.0548443931566,60.3009186335895
12,1019,Jokiniemenkatu,Ånäsgatan,Jokiniemenkatu,Valkoisenlähteentie 34,Vitbäcksvägen 34,Vantaa,Vantaa,City Bike Vantaa,20,25.050164989684,60.2982375396246
13,1021,Liljatie,Liljevägen,Liljatie,Tikkurilantie 77,Dickursbyvägen 77,Vantaa,Vantaa,City Bike Vantaa,20,25.0220121725373,60.2910976471257
14,1023,Puutarhatie,Trädgårdsvägen,Puutarhatie,Tikkurilantie 101,Dickursbyvägen 101,Vantaa,Vantaa,City Bike Vantaa,20,25.0064559485306,60.2921602193589
15,1025,Talkootori,Talkotorget,Talkootori,Talkooraitti 4,Talkostråket 4,Vantaa,Vantaa,City Bike Vantaa,20,25.0462299100116,60.303060366873
16,1027,Hiekkaharjun asema,Sandkulla station,Hiekkaharju station,Metsätähdentie 1a,Skogsstjärnevägen 1a,Vantaa,Vantaa,City Bike Vantaa,20,25.0493033667583,60.3047280535581
17,1029,Tarhurinaukio,Trädgårdsmästarplatsen,Tarhurinaukio,Tarhurintie 10,Trädgårdsmästarvägen 10,Vantaa,Vantaa,City Bike Vantaa,10,25.0444983613892,60.3124745763642
18,1031,Malminiitynpolku,Malmängsstigen,Malminiitynpolku,Uusiniityntie 7,Nyängsvägen 7,Vantaa,Vantaa,City Bike Vantaa,20,25.0351161301312,60.3132651015627
19,1033,Leinikkitie,Ranunkelvägen,Leinikkitie,Leinikkitie 22,Ranunkelvägen 22,Vantaa,Vantaa,City Bike Vantaa,20,25.0307302013524,60.3105341157447
20,1035,Sananjalanpolku,Örnbräksstigen,Sananjalanpolku,Sananjalanpolku 2,Örnbräksstigen 2,Vantaa,Vantaa,City Bike Vantaa,10,25.0265758848951,60.3134573375537
